"","name","beds"
"1","El Raval",2455
"2","El Barri Gòtic",NA
"3","La Dreta De L'eixample",3857
"4","L'antiga Esquerra De L'eixample",2076
"5","La Nova Esquerra De L'eixample",1306
"6","La Barceloneta",452
"7","Sant Pere, Santa Caterina I La Ribera",1837
"8","El Fort Pienc",1141
"9","La Sagrada Família",2061
"10","Sant Antoni",1677
"11","El Poble Sec",2028
"12","La Marina De Port",96
"13","El Clot",232
"14","La Marina Del Prat Vermell",34
"15","La Font De La Guatlla",184
"16","Hostafrancs",355
"17","La Bordeta",140
"18","Sants - Badal",181
"19","Sants",628
"20","Les Corts",431
"21","La Maternitat I Sant Ramon",207
"22","El Baix Guinardó",242
"23","Pedralbes",47
"24","Vallvidrera, El Tibidabo I Les Planes",92
"25","Sarrià",106
"26","El Parc I La Llacuna Del Poblenou",608
"27","Les Tres Torres",74
"28","Sant Gervasi - Galvany",679
"29","La Salut",217
"30","Sant Gervasi - La Bonanova",139
"31","La Vila Olímpica Del Poblenou",570
"32","El Putxet I El Farró",497
"33","El Coll",94
"34","Vallcarca I Els Penitents",226
"35","La Vila De Gràcia",2081
"36","El Camp D'en Grassot I Gràcia Nova",793
"37","Can Baró",88
"38","El Guinardó",365
"39","Can Peguera",1
"40","La Font D'en Fargues",71
"41","La Teixonera",24
"42","Sant Genís Dels Agudells",28
"43","Montbau",18
"44","Baró De Viver",1
"45","El Carmel",110
"46","La Vall D'hebron",19
"47","Vilapicina I La Torre Llobeta",70
"48","Porta",58
"49","La Clota",4
"50","El Turó De La Peira",14
"51","El Poblenou",861
"52","Horta",77
"53","La Guineueta",12
"54","Canyelles",9
"55","Les Roquetes",11
"56","Verdun",25
"57","La Prosperitat",38
"58","El Bon Pastor",17
"59","La Trinitat Nova",9
"60","Torre Baró",6
"61","Ciutat Meridiana",10
"62","La Trinitat Vella",5
"63","Sant Andreu",154
"64","La Sagrera",152
"65","El Congrés I Els Indians",56
"66","Navas",138
"67","El Camp De L'arpa Del Clot",509
"68","Diagonal Mar I El Front Marítim Del Poblenou",574
"69","La Verneda I La Pau",72
"70","El Besòs I El Maresme",176
"71","Provençals Del Poblenou",203
"72","Sant Martí De Provençals",76
