Dte;Barris;Poblacio;Superficie(ha);Densitat(hab/ha);DensitatNeta(hab/ha)
;;;;;
BARCELONA;;1.611.822;10.234;157;625
;;;;;
1;1. el Raval;48.800;110;444;983
1;2. el Barri Gòtic;16.267;84;193;477
1;3. la Barceloneta;15.503;132;117;1.185
1;4. Sant Pere, Santa Caterina i la Ribera;22.769;111;204;705
2;5. el Fort Pienc;31.738;93;343;950
2;6. la Sagrada Família;51.806;103;502;1.006
2;7. la Dreta de l'Eixample;43.384;212;204;381
2;8. l'Antiga Esquerra de l'Eixample;41.773;123;338;624
2;9. la Nova Esquerra de l'Eixample;57.819;134;432;880
2;10. Sant Antoni;38.260;80;478;923
3;11. el Poble Sec - AEI Parc Montjuïc (1);40.984;460;89;1.142
3;12. la Marina del Prat Vermell - AEI Zona Franca (2);1.172;1.435;1;32
3;13. la Marina de Port;30.271;126;241;773
3;14. la Font de la Guatlla;10.313;29;353;904
3;15. Hostafrancs;15.960;40;396;712
3;16. la Bordeta;18.577;57;326;900
3;17. Sants - Badal;24.351;41;594;969
3;18. Sants;41.057;111;369;740
4;19. les Corts;46.183;141;327;712
4;20. la Maternitat i Sant Ramon;23.667;190;124;724
4;21. Pedralbes;11.790;271;43;145
5;22. Vallvidrera, el Tibidabo i les Planes;4.437;1.155;4;50
5;23. Sarrià;24.450;297;82;260
5;24. les Tres Torres;15.984;79;203;376
5;25. Sant Gervasi - la Bonanova;24.607;228;108;300
5;26. Sant Gervasi - Galvany;46.486;166;280;487
5;27. el Putxet i el Farró;29.302;84;347;551
6;28. Vallcarca i els Penitents;15.453;131;118;329
6;29. el Coll;7.232;34;213;583
6;30. la Salut;13.210;60;218;681
6;31. la Vila de Gràcia;50.615;133;381;606
6;32. el Camp d'en Grassot i Gràcia Nova;34.439;65;529;895
7;33. el Baix Guinardó;25.641;56;458;1.081
7;34. Can Baró;8.969;51;175;625
7;35. el Guinardó;35.679;128;279;682
7;36. la Font d'en Fargues;9.490;63;151;240
7;37. el Carmel;31.789;87;363;813
7;38. la Teixonera;11.654;33;351;619
7;39. Sant Genís dels Agudells;6.935;182;38;383
7;40. Montbau;5.111;175;29;438
7;41. la Vall d'Hebron;5.494;74;74;668
7;42. la Clota;438;18;25;72
7;43. Horta;26.543;323;82;419
8;44. Vilapicina i la Torre Llobeta;25.543;57;450;876
8;45. Porta;24.193;84;288;695
8;46. el Turó de la Peira;15.593;36;438;1.162
8;47. Can Peguera;2.230;11;196;268
8;48. la Guineueta;15.117;61;246;673
8;49. Canyelles;7.102;65;109;781
8;50. les Roquetes;15.768;68;232;860
8;51. Verdun;12.329;24;519;847
8;52. la Prosperitat;26.299;59;442;965
8;53. la Trinitat Nova;7.551;55;136;601
8;54. Torre Baró;2.192;187;12;103
8;55. Ciutat Meridiana;10.485;36;294;682
8;56. Vallbona;1.346;66;20;199
9;57. la Trinitat Vella;10.423;75;138;821
9;58. Baró de Viver;2.415;23;105;617
9;59. el Bon Pastor;12.800;188;68;796
9;60. Sant Andreu;56.476;184;307;735
9;61. la Sagrera;28.911;98;295;733
9;62. el Congrés i els Indians;14.010;41;344;694
9;63. Navas;21.811;42;515;969
10;64. el Camp de l'Arpa del Clot;37.933;74;511;883
10;65. el Clot;27.169;70;388;1.150
10;66. el Parc i la Llacuna del Poblenou;14.355;113;127;731
10;67. la Vila Olímpica del Poblenou;9.319;90;103;385
10;68. el Poblenou;32.838;162;202;771
10;69. Diagonal Mar i el Front Marítim del Poblenou;12.894;128;101;560
10;70. el Besòs i el Maresme;23.118;128;180;878
10;71. Provençals del Poblenou;20.052;111;180;1.487
10;72. Sant Martí de Provençals;25.994;75;349;1.144
10;73. la Verneda i la Pau;29.154;112;260;899
